collect_date,급기풍량,환수유량,환기온도
2017-11-01 0:00,16.802,0.477,18.87
2017-11-01 0:15,19.102,0.493,18.64
2017-11-01 0:30,16.802,0.477,18.58
2017-11-01 0:45,16.802,0.493,18.49
2017-11-01 1:00,19.102,0.46,18.41
2017-11-01 1:15,19.102,0.427,18.36
2017-11-01 1:30,16.802,0.493,18.29
2017-11-01 1:45,16.802,0.477,18.25
2017-11-01 2:00,17.953,0.427,18.22
2017-11-01 2:15,16.802,0.443,18.18
2017-11-01 2:30,16.802,0.443,18.11
2017-11-01 2:45,16.802,0.493,18.09
2017-11-01 3:00,16.802,0.493,18.06
2017-11-01 3:15,19.102,0.46,18.02
2017-11-01 3:30,19.102,0.443,17.96
2017-11-01 3:45,17.953,0.46,17.96
2017-11-01 4:00,19.102,0.493,17.91
2017-11-01 4:15,17.953,0.46,17.95
2017-11-01 4:30,20.254,0.477,17.94
2017-11-01 4:45,17.953,0.493,17.95
2017-11-01 5:00,17.953,0.443,17.9
2017-11-01 5:15,16.802,0.41,17.84
2017-11-01 5:30,15.65,0.427,17.83
2017-11-01 5:45,17.953,0.46,17.81
2017-11-01 6:00,19.102,0.427,17.86
2017-11-01 6:15,19.102,0.41,17.92
2017-11-01 6:30,16.802,0.393,17.9
2017-11-01 6:45,19.102,0.427,17.95
2017-11-01 7:00,16361.729,0.643,23.1
2017-11-01 7:15,18189.213,0.643,23.46
2017-11-01 7:30,16276.568,0.643,23.4
2017-11-01 7:45,15721.88,0.66,23.28
2017-11-01 8:00,15590.686,0.643,23.2
2017-11-01 8:15,15807.039,0.66,22.95
2017-11-01 8:30,14674.644,0.76,22.94
2017-11-01 8:45,15334.056,0.71,23.02
2017-11-01 9:00,15370.882,0.727,23.24
2017-11-01 9:15,15215.524,0.743,23.33
2017-11-01 9:30,14729.882,0.727,23.42
2017-11-01 9:45,14722.978,0.71,23.51
2017-11-01 10:00,17558.568,0.777,23.62
2017-11-01 10:15,18830.213,0.727,23.76
2017-11-01 10:30,17954.447,0.827,23.88
2017-11-01 10:45,16509.033,0.827,24.08
2017-11-01 11:00,17988.973,0.76,24.3
2017-11-01 11:15,17460.752,0.877,24.58
2017-11-01 11:30,19422.877,0.843,24.45
2017-11-01 11:45,17563.172,0.893,24.34
2017-11-01 12:00,17425.074,0.877,24.22
2017-11-01 12:15,19647.287,0.927,24.08
2017-11-01 12:30,18596.598,0.843,23.98
2017-11-01 12:45,18560.924,0.893,23.83
2017-11-01 13:00,16820.9,0.827,23.81
2017-11-01 13:15,16291.527,0.91,23.83
2017-11-01 13:30,18397.508,0.76,23.92
2017-11-01 13:45,16233.987,0.81,23.97
2017-11-01 14:00,15850.769,0.777,23.98
2017-11-01 14:15,13324.747,0.743,24.02
2017-11-01 14:30,29.46,0.76,24.76
2017-11-01 14:45,34.063,0.843,23.57
2017-11-01 15:00,31.762,0.843,22.91
2017-11-01 15:15,17417.02,0.877,24.57
2017-11-01 15:30,17613.809,0.877,24.45
2017-11-01 15:45,17029.199,0.81,24.38
2017-11-01 16:00,14469.799,0.893,24.32
2017-11-01 16:15,16308.792,0.877,24.27
2017-11-01 16:30,16767.965,0.877,24.23
2017-11-01 16:45,16393.951,0.843,24.25
2017-11-01 17:00,15538.901,0.927,24.21
2017-11-01 17:15,16682.805,0.843,24.17
2017-11-01 17:30,15247.745,0.827,24.14
2017-11-01 17:45,17063.721,0.86,24.14
2017-11-01 18:00,30.611,0.81,24.81
2017-11-01 18:15,34.063,0.793,24.89
2017-11-01 18:30,15.65,0.627,24.94
2017-11-01 18:45,14.499,0.627,24.85
